javascript_builtin, javascript_mergesort, javascript_quicksort
266.59149999998044,591.6145999999717,542.2071999999462
292.33829999994487,589.8506000000052,593.2454000000143
398.8172000000486,376.375400000019,438.5583999999799
301.2624000000069,393.39529999997467,488.1916000000201
303.0064999999013,523.93479999993,732.1062999999849
249.34700000006706,409.9414000000106,404.00780000002123
241.58310000004712,527.75,231.38000000000466
256.7298000000883,488.18030000000726,298.4451999999583
237.05279999994673,454.6711999999825,271.44980000006035
235.47440000006463,540.1846000000369,176.50729999993928
283.26520000002347,698.8185999999987,312.21650000009686
285.7682999999961,396.5858999999473,181.9311999999918
231.59930000000168,484.53190000006,231.02460000000428
251.70700000005309,560.3489999999292,257.1506999999983
239.420999999973,491.0259000000078,215.57640000001993
287.24560000002384,431.1207000000868,284.61450000002515
237.4882000000216,531.8033000000287,253.48339999991003
244.21610000007786,428.37630000000354,216.78710000007413
283.14789999998175,630.6703999999445,293.545999999973
305.89650000003166,383.29280000005383,232.2736000000732
327.2219000000041,455.01309999998193,154.86060000001453
237.56319999997504,504.25,209.5233999999473
237.92310000001453,428.27209999994375,152.81559999997262
238.56380000000354,480.35679999995045,283.57420000003185
251.8564999999944,475.656100000022,255.49809999996796
276.3534000000218,487.43900000001304,187.00339999992866
288.7452999999514,439.68399999989197,274.3170000000391
246.37159999995492,543.7423000000417,286.65340000006836
250.78810000000522,516.8994999999413,295.4307999999728
295.15139999997336,589.9860999999801,244.08169999998063
247.0209999999497,623.3671000000322,276.9835000000894
289.65929999994114,517.0549999999348,221.59299999999348
245.11759999999776,590.6414999999106,308.3928999999771
246.4607000000542,469.470500000054,194.95279999997
242.75159999995958,618.0207999999402,343.80259999993723
243.91229999996722,587.4714999999851,223.81309999991208
238.31099999998696,522.8414999999804,255.19940000004135
239.01210000005085,492.4761000000872,215.19140000001062
238.65540000004694,645.2445999999763,237.45589999994263
255.01599999994505,472.5864999999758,264.6121999999741
250.25990000006277,466.56119999999646,203.22179999994114
283.69800000009127,570.0400000000373,230.02469999995083
292.52659999998286,473.6215000000084,165.45290000003297
242.28799999994226,519.3499000000302,215.8225000000093
233.9794000000693,550.3378999999259,210.04799999995157
290.8068000000203,569.7626000000164,301.41760000004433
244.8854000000283,409.48439999995753,290.4240999999456
252.98100000002887,488.90729999996256,149.68479999992996
241.39600000006612,523.1827000000048,250.7497999999905
282.8743999999715,593.6017999999458,397.9240999999456
251.98080000001937,507.2131999999983,290.41379999998026
249.66880000010133,481.0395000000717,291.55200000002515
240.99629999999888,526.9967000000179,155.80930000008084
242.8650000001071,564.8379999999888,224.06530000001658
242.55709999997634,501.49320000002626,212.24190000002272
304.0862999999663,456.88240000000224,281.9551999999676
246.61090000008699,498.49459999997634,286.74239999998827
240.5783999999985,579.6870000000345,281.7121000000043
243.1655000000028,624.7802000000374,251.93339999997988
284.14199999999255,628.0853000000352,263.27939999999944
312.9776000001002,544.0485000000335,224.2780999999959
297.67969999997877,480.64119999995455,295.2299999999814
302.6700000000419,670.3852999999654,267.0922000000719
367.26130000001285,519.8035999999847,213.73649999999907
350.53370000002906,443.75130000000354,301.7304999999469
343.5729000000283,574.4486999999499,331.6450000000186
243.65320000005886,581.173700000043,270.70510000002105
357.42089999991003,601.2942000000039,319.1022000000812
266.8706999999704,629.7754000000423,235.53229999996256
261.62349999998696,582.5156000000425,232.828600000008
457.8170000000391,592.0455000000075,232.34009999991395
288.9598999998998,759.1258999999845,317.843899999978
294.88509999995586,646.2049000000115,190.07579999999143
268.0384000000777,565.814400000032,310.2880000000587
372.69129999994766,627.0721999999369,327.05139999999665
340.1067000000039,644.3332999999402,200.29589999991003
309.2728000000352,515.5235999999568,287.7302999999374
338.4375,532.9769000000088,274.79220000002533
252.90079999994487,529.8013000000501,328.28330000001006
309.29729999997653,476.20999999996275,195.37549999996554
249.6417000000365,471.27110000001267,261.4472000000533
234.92110000003595,564.3007000000216,225.86089999997057
239.9861999999266,520.2844000000041,284.3921000000555
285.77899999998044,544.5934000000125,247.87970000004862
256.2239999999292,586.2143999999389,235.4716999999946
302.93310000002384,533.8776999999536,177.15400000009686
271.4664000000339,553.7400000001071,262.9087999999756
280.4425999999512,467.5726999999024,168.0749000000069
245.8291999999201,544.4932000000263,285.7428999999538
239.1535000000149,488.3715999999549,265.3497000000207
244.89480000000913,507.09230000001844,290.6413000000175
389.8414000000339,697.2108999999473,329.65689999994356
543.5818999999901,714.8832999999868,353.6073000000324
307.6864999999525,597.8708999999799,314.00190000003204
